"﻿missionId","missionName","missionLaunchDate","missionOrigin","countriesAllowed","coordinators'Name","missionDuration (in months)","missionType","missionDescription","employmentRequirements","employmentRequirementsNo","age","minimum years of experience","qualifications","occupations","minimum computer skills required","language required","secondary language","cargo for?","cargo required","quantity required (for each)","LocationOfTheDestination","state",
"7255","null","10/11/2020","United States","United States","Lois Elliott","94","agriculture, architecture","sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim.","painter","3","18-32","3yr","BE","designer","intermediate","english","arabic, french","mission","stews, chicken","249","null","null",
"7258","null","20/04/2024","New Zealand","New Zealand","Pearl Silva","48","agriculture, architecture","pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam","general practitioner","3","18-50","6yr","MBS","nurse","advanced","english","telugu","mission","noodles, chicken, salads","354","null","null",
"7261","null","11/10/2025","United Kingdom","United Kingdom","Gillian Wright","84","medical","sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum","designer","3","18-32","7yr","BE","designer","advanced","english","telugu","journey","pies","301","null","null",
"7264","null","21/07/2021","Austria","Austria","Liberty Larson","62","town planning, roads","Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat.","nurse","3","24-45","8yr","MS","surgeon","expert","english","telugu","journeyAndMission","stews","396","null","null",
"7267","null","11/3/2022","United States","United States","Gail Sosa","92","prison","Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu.","general practitioner","3","18-50","8yr","BDS","manufacturer","advanced","english","telugu","journey","beef","55","null","null",
"7270","null","5/11/2023","Canada","Canada","Jacqueline Harrell","77","prison","tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas","electrician","3","18-32","3yr","MBS","designer","advanced","english","persian, hindi","mission","water","454","null","null",
"7273","null","22/10/2021","Canada","Canada","Karly Roberson","89","prison, medical","Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit","electrician","3","24-50","2yr","MIT","general practitioner","expert","english","bengali","journey","water, desserts","22","null","null",
"7276","null","11/10/2022","New Zealand","New Zealand","Sheila Horne","44","prison, medical","libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus.","designer","3","24-45","2yr","MBBS","electrician","intermediate","english","russian, javanese, greek","journeyAndMission","cereals, chicken, salads","359","null","null",
"7279","null","20/02/2025","Canada","Canada","Morgan Howell","27","prison, medical","et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor","general practitioner","3","24-50","1yr","BDS","builder","intermediate","english","russian, javanese, greek","journeyAndMission","concrete","464","null","null",
"7282","null","13/02/2024","United Kingdom","United Kingdom","Dakota Talley","88","railways","fringilla ornare placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus","","3","18-50","5yr","MS","general practitioner","advanced","english","hindi, mandarin, italian","journeyAndMission","water, salads","218","null","null",
"7285","null","9/10/2022","Austria","Austria","Maxine Gill","45","architecture, railways","at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede.","carpenter","3","24-50","6yr","MBS","carpenter","intermediate","english","hindi, mandarin, italian","journeyAndMission","beef, pies, cereals","84","null","null",
"7288","null","23/09/2024","India","India","Farrah Acevedo","62","architecture, railways","interdum. Sed auctor odio a purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim","general practitioner","3","18-32","5yr","ME","builder","advanced","english","hindi, mandarin, italian","journeyAndMission","chicken, salads","476","null","null",
"7291","null","1/5/2024","Canada","Canada","Kelly Herman","35","roads, medical","ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut","painter","3","18-50","5yr","MBS","surgeon","expert","english","punjabi, javanese","journey","pies","451","null","null",
"7294","null","14/05/2025","Austria","Austria","Catherine Coffey","86","roads, medical","nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus","manufacturer","3","24-45","3yr","MBS","nurse","intermediate","english","punjabi, javanese","journey","pork, desserts, cereals, stews","340","null","null",
"7297","null","2/11/2024","India","India","Buffy Dillard","47","agriculture","Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo","surgeon","3","24-45","2yr","BDS","nurse","expert","english","punjabi, javanese","journey","cereals, soups","355","null","null",
"7300","ttt","15/01/2023","New Zealand","New Zealand","Lysandra Kemp","73","prison, architecture","egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non","manufacturer","3","24-50","3yr","MIT","builder","expert","english","greek, telugu, hindi","journey","pies, chicken, salads","311","null","null",
"7303","qqq","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"7306","www","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
